,DE,FR,IT,ES,NL,CH,UK,PL,SE,NO,BE,AT,PT,DK,FI,IE
2010-09-30,0.5600920649826903,1.6610227240927464,0.7544603005627912,-0.17537544152350185,1.3440369070331382,0.3952268839645434,0.349991454709163,0.512994310033173,0.8968453975076904,0.43035596513631985,-0.06384878170469897,0.09930400064792144,-0.3944533026462192,1.294934756183459,0.7137812599951108,-1.7420134402094913
2010-10-31,0.6347815313174993,1.5795362221936669,0.5206375034194461,-0.20599826858129452,1.1755259743821538,0.37746654632118404,0.4035991984886117,0.5818251207233814,1.0701964109075364,0.5133223278918125,0.11423439209721743,0.31377072494410724,-0.388788319750422,1.1673636174736899,0.6900956137036129,-1.515876547214475
2010-11-30,0.2671537901129786,0.06791992209076093,-1.2487911357346946,-0.653916023731496,0.19573348992604214,0.7628916101918444,0.20297436172376673,0.12042174789460977,0.7330114236561408,0.5825357315148962,-0.06749589278085749,0.028397742416933613,-0.24763008262115896,0.5197290293992682,0.14817519781079522,-2.171089371588462
2010-12-31,-0.361676160248914,-0.18848304059200127,-0.981169620646521,-0.4886265756622847,-0.5046934617150384,0.8451888013411984,-0.12420119354302069,0.1503875117493533,0.3119729100568206,-0.07428011997255618,-0.6792581401845864,-0.8044936219310796,-0.1110263105810759,-0.14301952315565938,-0.529162952152799,-2.134089716956222
2011-01-31,-0.38115156022761126,-0.10807009523930604,-0.882006761511315,-0.6392538261173217,-0.4348812473407049,0.8156625359803464,-0.12256751596121516,0.31451439097284944,0.2615890800253181,-0.05117056703991209,-0.6654817785086763,-0.8557958922279508,-0.002805664890011789,-0.14174401351309354,-0.449835438990758,-2.10066255970296
2011-02-28,-0.05561050781432356,0.10829678356584865,-0.8474035305868649,-0.675382835937578,-0.07566630208932716,1.0706747786260342,-0.04101270959868218,0.3743478932458375,0.5354580166032588,0.26691561587856677,-0.5506796647109332,-0.5280146620672426,-0.002805664890011522,0.10696690244251744,-0.111847883155185,-2.112715723298032
2011-03-31,0.058214844373686826,0.21135154717538912,-0.6151357357498292,-0.640053374910295,-0.0710522405785953,1.1078920338228089,-0.2689347067586415,0.02847233009575079,0.5652206928473632,0.2338646018112343,-0.47116602103589433,-0.38829202450171707,0.3167204945095641,0.31319847129588513,0.10570633710398364,-2.20901675188628
2011-04-30,0.27761991058672564,0.386111847694084,-0.702401499943239,-0.6331359786453361,0.20070678971919537,1.3538936973710065,-0.24762741299170518,0.013845997361886152,0.5805213165865812,0.28195569074880455,-0.29238088005361224,-0.16144529448497122,-0.47815061659063124,0.5269375105533773,0.1273162092548891,-2.1902712637914097
2011-05-31,0.15499757513797202,0.16873151993546584,-0.7229038995279135,-0.792152066382733,0.08458827986585404,1.3197626435259773,-0.3969540562730796,-0.33238376246538687,0.17324166398513882,-0.06138200086447751,-0.43139584956704763,-0.18498683547457068,-0.36279969900900905,0.19998725232803893,-0.1576671693412971,-1.7928923503421272
2011-06-30,0.15219232987172865,0.09581020888886344,-0.8196473337328417,-1.0780942280906318,0.08396469021685915,1.2077907696106234,-0.346816424853708,-0.6474795393355476,0.17324166398514618,-0.07897680229447658,-0.7106119074282782,-0.2800913091803023,-0.2762020181576939,0.18419472001718754,-0.0777513518343389,-1.5377008246062251
2011-07-31,-0.11521010318987315,0.16152495828217336,-0.942334349560198,-0.7021496968226123,0.015847511019519665,0.8789513827298899,-0.35604944679205597,-0.6989471422979829,-0.12865221903620133,-0.19407787619413933,-0.6765161000585274,-0.25777142966727945,0.05751395560707627,0.24972547137552586,-0.11260122272450615,-1.2126423234979413
2011-08-31,0.64110004349675,0.6492151775590855,-1.0266554296782389,-0.15885645687490496,0.677789916471416,0.873645874705126,0.5688740914603083,-0.8785930736213937,0.8778706338879685,1.1336589244693474,-1.400467904686704,0.6178657418664201,0.9549728172013643,0.9553521201414114,0.761944083543117,2.352095686047496
2011-09-30,0.40998893977004947,0.4480421439247259,-0.6075036321245607,-0.2414436223607655,0.4444122050760942,0.6115448385042775,0.3930357507369747,-0.7269891720792836,0.4644590709503145,0.822022967223955,-0.9509507124654524,0.34160956736474235,0.8402213873517704,0.6915851250457421,0.5158558747170338,1.730639866005161
2011-10-31,0.4752784660667005,0.40736557771545817,-0.4038222816170683,-0.1605150227466008,0.5008694996310712,0.6093692957847958,0.4895930201027742,-0.8517811062153346,0.4463585501957799,0.8353102445590113,-0.6464265890851083,0.42547045534164263,1.0302420727460002,0.735577835109751,0.5798422650964197,1.5176561917744442
2011-11-30,0.22371173668699884,0.23204900065923192,-1.227798911783532,-0.6707223397356394,0.3584808570342671,0.2984277337330572,0.22466280672879937,-0.8676260392045592,0.182164909389102,0.6931169862869712,-0.9532782077848335,0.20919490249010222,0.7945901380423468,0.39116717142565427,0.5000432043717177,2.0627801706280158
2011-12-31,0.638782815600479,-0.11649575325033734,-1.3351524946740985,-0.4778399945485631,0.6331082768677733,-0.07028015763717589,0.6122873392389543,-1.1152462310557727,0.9458531439592794,1.0222630694530404,-0.4514905059257975,-0.01916429684352006,1.2222911414639595,0.529248677590104,1.0189804538482383,2.055636153554014
2012-01-31,0.48482961172226113,-0.20351931667167655,-1.2648861919286725,-0.5508910723756499,0.3442791356542651,-0.0731175384107772,0.7059372804504084,0.04194645697052865,0.990384848961233,0.9583574536857514,-0.7285035664320064,0.02201649985082966,1.3583240128776601,0.3685304518283526,0.6349278554702631,1.609080289052618
2012-02-29,0.6059074791711295,-0.5363495418423164,-0.031587726729548384,-0.608725744812648,0.432011236765395,-0.12729960305528926,0.912068192867507,-0.028807310344964768,0.7795077063718874,0.7600060654265102,-0.802159938354435,-0.3287323855682112,1.0305069130983262,0.44183485511044435,0.695820700233115,1.337264386836469
2012-03-31,0.5854847989766405,-0.6341617506008084,-0.2574861351782867,-0.5591831991824499,0.43069279257719006,-0.19048739038824636,0.8758687844101252,-0.2748886675545584,0.8110699375624798,0.7917974449171054,-0.9452537728351034,-0.47202720852655283,0.9304352111332109,0.4399293488292753,0.640149332144666,1.2733965263450475
2012-04-30,0.4230505216467041,-0.6838698825963433,-0.008457023494073084,-0.357028197566464,0.8779947135585753,-0.30387186135248173,0.7846433815466922,-0.11125638167941827,0.7130243217945564,0.6369601933113165,-1.0473922908638185,-0.6220493041657978,0.5988671290852051,0.27088426485631306,0.5131674811042584,1.2494291848459835
2012-05-31,0.4145587783279385,-0.6914392900938011,0.09005706828725527,-0.1473931382517924,0.7748522283338652,-0.177375248547607,0.7639057480401965,-0.10019104940522232,0.6909888657474499,0.6575907472560133,-1.1359161893876528,-0.6142612136601755,0.3234080813799085,0.2314587966037417,0.4509755748203627,1.3472143489760726
2012-06-30,0.5866772042768423,-0.8033216515362266,0.12202356706822635,-0.004505156319620572,0.8807373097913763,0.041089669358800075,0.6325533417311789,-0.11404481382646221,0.7640040380857946,0.670646806380214,-1.1890349440364938,-0.7143715842442716,0.007221385764770342,0.3136077284280237,0.42116888093705385,1.462153181867473
2012-07-31,0.7059345690702281,-0.9747599719024875,-0.048896686999935796,-0.07792656274100229,0.7638861524943595,-0.02180621460690145,0.6078244195510806,-0.061177456938109505,0.7929268843953674,0.5462289180180216,-1.3355282620171323,-0.8310443630675332,-0.020766442329630968,0.147914918882968,0.29303682137839376,1.701362885508764
2012-08-31,0.5069692977417861,-1.1698340491134231,-0.0410464745440196,-0.18021407918546264,0.7685061559950827,-0.30046388082378317,-0.13807306853591778,-0.061177456938130426,0.3725929163592966,-0.5626884798304325,-1.3721187748975665,-1.1511061358629187,-0.09082131482838342,0.10506362449052607,0.2044784303920361,0.3267935166574944
2012-09-30,0.3207449366856237,-0.9587559123428385,-0.4098391106784529,-0.08231028324473344,1.0408184570442982,0.051241441511706495,0.12335103629589066,-0.16477392788308912,0.5668245858272345,-0.19534572779643586,-1.0867733219695093,-0.8572466047211291,-0.32623842831947397,-0.020829373106306948,-0.16311145101950625,0.2846651313244987
