Date,CH,DE,ES,FR,IT,NL,UK
2008-11-30,0.31148169574145446,-0.3353566435057661,-0.9153927795004878,-0.19135173214530155,0.13543835622650044,-0.44640990554634025,-0.09695595130264233
2008-12-31,0.36634136924599947,-0.32785193701626436,-0.9100302668670777,-0.17985704612864303,0.19024570093189114,-0.38202418522817505,-0.12261591277213202
2009-01-31,0.4713193924099414,-0.181693486426681,-1.0583062731455146,-0.1669108482476294,0.1296127273780626,-0.7946635282789317,-0.1705064621845318
2009-02-28,0.3291629318036517,0.11101906028441648,-0.6491895125300265,0.13930027097099307,0.35049941054626504,-0.43165717292145,0.1519250524135991
2009-03-31,0.18766602463941945,0.027745570656888128,-0.6126533860901471,0.07674402572427912,0.14435089698446024,-0.4246725282924914,-0.04437477196029066
2009-04-30,0.2888130864002724,0.7665579888798736,0.6240170259752534,0.6671262011955554,1.340944411899619,-0.16595615108674927,0.0677272452893351
2009-05-31,0.2005173230177716,0.7179644031517388,0.43860859863272206,0.556925810546074,1.1253719554312975,-0.11110168554546142,-0.036784736382271664
2009-06-30,-0.1393774001795618,0.6040113159967958,0.10978394793429054,0.5208790626832407,1.0596758582478125,-0.3920013548281484,-0.14869838030958937
2009-07-31,0.2016914876311948,0.42616295533340903,-0.05152689430027441,0.34358589610250445,0.7177400442926438,-0.4790048485144517,-0.2858848796102869
2009-08-31,0.11003493545755712,0.3197211351468862,-0.23261631843548025,0.24285962496773048,0.5416718529592475,-0.4933159228280528,-0.28206541721612033
2009-09-30,-0.17962226588584104,0.01996893535276237,-0.5245002009724733,-0.07957726191986876,0.24668085966901596,-0.7538265641543777,-0.4748464851420461
2009-10-31,-0.37138148414786354,0.2412693607829754,0.05940687982529905,0.21115260863891694,0.5140016805007587,-0.11048095806176714,-0.34072446780862886
2009-11-30,-0.5799536842968003,-0.025818131079096952,-0.09268638374253582,-0.011778717687298592,0.4165353774190706,-0.3153795659602337,-0.6023629981897033
2009-12-31,-1.0097602698268051,-0.11838814825167812,-0.06468195944285485,-0.3064612678874431,0.1582683667172451,-0.6366014278955242,-0.6324579346869732
2010-01-31,-1.167963210000523,-0.00778787486209854,-0.07655939353207315,-0.2657678707984992,0.16731133740892262,-0.49492582885684117,-0.6011682857419601
2010-02-28,0.5451173161039614,0.55301200671882,0.22646583171838006,-0.02115467086789026,0.9238644244231751,0.2609582420398057,-0.5785256948254562
2010-03-31,0.7899015517250837,0.4278544408660841,0.10645973543186114,-0.14418057456653147,0.7315718363315462,-0.11586121521877502,-0.7473877408055282
2010-04-30,0.6773760486344405,0.11894906000483713,-0.3060460583797121,-0.11473818330169548,0.032622823616368646,0.17891839119305977,-0.41909007551774274
2010-05-31,0.5132682706849484,0.37346361964608255,-0.24920601747182433,0.025723442491614255,0.18697910594979555,0.2266842033447169,-0.26781473380711857
2010-06-30,0.6058222481062266,0.31080578057062996,-0.05084100350144365,-0.03678105288945751,0.09017270832978606,0.21124235852946893,-0.2883697761125452
2010-07-31,-0.11059371328202608,0.16863902896542626,0.2654461206174122,-0.1535717193608966,0.11073974821647325,0.07801608488199008,-0.39965066074614347
2010-08-31,0.05527639549698408,0.41412754275078834,0.5837072790611479,0.20751230206775334,0.46582526559499715,0.42041761726049803,-0.18155507843575647
2010-09-30,0.04497846300734909,0.3645271467741897,0.5931572643683669,0.19365729041443602,0.4890229837683234,0.4052210438698063,-0.15493527579114333
2010-10-31,-0.20899640525449203,0.025975163281743645,0.3415172756810722,-0.1394529458922634,0.11742454908764567,0.25454786384338607,-0.3965059486504714
2010-11-30,-0.0640105172587654,0.1840018837728399,0.1835879971672706,0.13378491453559616,0.1191052089573312,0.4242038180979623,-0.0888198043483553
2010-12-31,-0.17740093460140857,0.28041893353708397,0.11668454498926778,0.12587720050931578,0.12074975244554956,0.3624562639312648,-0.06979073818675982
2011-01-31,-0.4046049868209994,0.5177598154800324,-0.23047988631492664,-0.23786810757043134,-0.19367059872171682,0.19441355670057034,-0.18082744162611863
2011-02-28,-0.6373250365423827,0.33125194536644487,-0.43419145486265986,-0.41956625959131016,-0.4166302239182913,-0.057100542933486806,-0.13110775718568604
2011-03-31,-0.257283876824466,-0.21725568773165924,-0.18064581206942085,-0.12676516243915578,-0.1401378322737121,0.11658594006552314,0.1806878298500383
2011-04-30,-0.6048295533267956,-0.33182323394558405,-0.4128553365376151,-0.469231702727337,-0.47345480680983315,0.23848254538175973,-0.10980337393822223
2011-05-31,-0.7793271535582906,-0.3375683895388878,-0.4238309700300605,-0.2677482597757652,-0.43240545706820016,0.7747025480374388,0.15204703308960754
2011-06-30,-1.1137724204079722,-0.430436482614298,-0.4203040688053946,-0.3347409692470112,-0.30736889919460336,0.7734641700981691,0.5627883610668442
2011-07-31,-0.8116030534996638,-0.10325406214618707,-0.6194871498417694,-0.20735060592014865,-0.041173186605039894,1.1913305559154665,0.8958235852587236
2011-08-31,-0.48799195564496384,-2.114737737840913,-0.45085318556709325,-0.5748765612841984,-0.40064514143399627,-0.10765011414666825,0.0029119119126659273
2011-09-30,-0.42348182867052464,-1.8204088677998476,-0.274111018133931,-0.2703727453684113,-0.13519406194003955,0.2081372852680834,0.18287068602621945
2011-10-31,-0.3484472278886186,-1.1977677960101567,-0.28626850901732936,-0.03078637607078104,-0.06883698794932008,0.45843283223197756,0.5059607584842585
2011-11-30,-0.44324751240820576,-1.1203524059452652,0.28946276985356606,-0.13937238209085992,-0.1535630816788276,0.4449054920668508,0.41821334867034327
2011-12-31,-0.21406776487176582,-0.9105413497246603,0.39594199139518427,-0.08566233244007819,-0.005780107941003992,0.2818781580838712,0.4760037490672275
2012-01-31,-0.2080182559900898,-0.7602698863768756,-0.27612581429741845,-0.08318150704497929,-0.28053671866539465,0.24742810133149856,0.28090587194175043
2012-02-29,-0.21459073634422685,-0.7849012582654349,-0.23157920266919296,-0.09634939995892582,-0.2884483112139639,0.27011715053831725,0.23336989331489733
2012-03-31,-0.5946964400697362,-0.9582639811647063,-0.06617604806223562,-0.2022797715216801,-0.3362559376909704,0.22721463375637127,0.25257141991797677
2012-04-30,-0.29270299404774774,-0.7547700120832038,-0.24841839698667903,0.16036634569042366,0.04585938154930866,0.3513566119317826,0.48088601168258127
2012-05-31,-0.012609728643781667,-0.5929840012238512,-0.2196093132343008,0.2948474556948682,0.10154097337593601,0.41632355312063407,0.33103189023716423
2012-06-30,-0.3391946523200169,-0.6262742792228424,1.0726426583640147,0.14681969360150948,0.14363420937251314,0.11071241015188131,0.11012103340658028
2012-07-31,-0.28561065701974053,-0.8452479275628682,1.043670419747689,-0.21105230874464406,-0.020466826603968702,-0.1979751583113606,-0.09443317183519154
2012-08-31,-0.2299700866725817,0.18971830766693554,0.6050248569477503,-0.3087743273443959,0.031958241966812004,0.17337431786240667,-0.20786631863872487
2012-09-30,-0.39414206436671523,-0.0350874035043833,0.4005156230438147,-0.17042819999414016,-0.1326988572271454,0.18035157419014755,-0.3715492874046037
2012-10-31,-0.26187822192686727,-0.2104765785742989,0.5008173161443398,-0.4818856008045874,-0.08403881368637552,-0.22285242904931243,-1.4490265403014477
2012-11-30,-0.6573910112648859,-0.3920674348170289,0.30375434997368683,-0.8675243649357958,-0.34437137733321976,-0.518536216162531,-1.6668361336112536
2012-12-31,-0.4984923551353214,-0.7239561912002358,0.24951167764183294,-0.9884409857098393,-0.524194803378351,-0.44847554301288467,-1.610048893275894
2013-01-31,0.13821076829913617,-1.4702468153102197,0.1422017178388969,-0.9918185063788301,-0.520994755988528,-0.5117232670374458,-0.8904125910779082
2013-02-28,0.10211188373213768,-1.537307790930748,0.17828501938374847,-0.8167803182322197,-0.1872116331821234,-0.19195208113626666,-0.8214561143462051
2013-03-31,0.028141194212256544,-1.480227704523122,0.14517680482480935,-0.9099036019316759,-0.13661079462267545,-0.36419878102932757,-1.0825045704059386
2013-04-30,-0.026239319909379208,-2.0174168629878872,0.016791378691160853,-1.2974381090000247,-0.47114386749592346,-0.5987087092083431,-1.1754023875938098
2013-05-31,1.1883357114871202,0.4378840375520663,1.0590934243019885,-0.3967204307744177,-0.36696867187315513,-0.48955555482446705,1.8551539348296706
2013-06-30,0.508993888607052,-0.9823307625348436,0.2286736055752891,-1.5626988513707205,-0.5443525006613429,-0.6607962089474316,-0.6662515762882666
2013-07-31,0.8213919707176658,-1.2541070410934172,-0.00975366457234249,-0.830357896327881,-0.8163953523060188,-0.3568043332764708,-0.29602687836171976
2013-08-31,0.7942166435648519,-0.7627547216120912,0.012887165345581765,-0.43249271328788463,-0.7667997390796717,-0.15720790265393697,-0.09729162163638728
2013-09-30,0.5846341644684948,-0.4496000836200489,0.3534768602363795,-0.7656526918355409,-0.9381363149839961,-0.5231939654190291,-0.11806613798117609
2013-10-31,0.4659976560799161,-0.653044459131917,0.12528629179417985,-0.8519837009535758,-0.7904283046612904,-0.5791328680397398,-0.3266847830575737
